Systematic_ID,median_est
SPAC6C3.08,3398.3312066266703
SPBC354.14c,2733.881914843596
SPAC13A11.06,2495.819329376577
SPBC1861.01c,2272.1401486323325
SPBC11B10.07c,2121.8984607664165
SPAC3H1.14,1859.8435430081913
wt,1744.1425497006235
SPBC32H8.11,1417.615457385857
SPAC7D4.02c,1287.4790256919318
SPAC21E11.04,985.2148323216345
SPAC1F8.04c,835.8478636005268
SPCC663.09c,827.113660468344
SPCC1827.03c,789.2917278987226
SPAC5D6.07c,750.8628299446523
unknown,728.5924461620853
SPCC1840.12,724.4089247303987
SPBC1773.04,699.3126502417572
SPAC56E4.06c,648.4510388413674
SPBC14C8.03,627.3343201277463
SPAC23H3.05c,623.9012339011455
SPBC776.16,621.135176281071
SPBP23A10.10,605.0807864469386
SPBC1706.01,596.7688796866305
SPBC1271.10c,593.5154963928663
SPAC11H11.05c,592.496059549436
SPCC663.06c,589.4702995325229
SPCC1739.05,587.1668291558949
SPBC28F2.05c,582.4501296632689
SPCC4G3.05c,581.8972753611891
SPAC22F3.13,578.0821208610056
SPAC2F7.03c,575.4309031330914
SPCC1494.10,573.819915065877
SPAPJ760.03c,569.6551065329364
SPBC543.03c,567.261505600025
SPBC1709.09,562.6697029818092
SPBC15D4.03,559.0731357712602
SPAC2F7.02c,545.9695294679709
SPBC1198.14c,544.3657052653093
SPBC530.14c,543.8597655427285
SPBC3B9.08c,540.6340052558886
SPAC26H5.07c,540.1307366526534
SPAC4H3.01,539.8879073198668
SPAC2E1P3.02c,538.3023653938409
SPCP1E11.05c,530.4872197498561
SPAC23C4.03,529.1153613315278
SPBC32H8.06,520.3943867554207
SPAC343.09,517.8013652897331
SPAC1786.02,517.6966190333403
SPBC32H8.02c,505.91402312861857
SPBC21B10.13c,496.34113827931697
SPAC1687.21,492.1267243130136
SPAC17A2.05,490.51645659973894
SPBC2D10.11c,489.81549508703125
SPBC902.04,489.13340760555303
SPBC56F2.06,477.57690793969795
SPCC11E10.04,477.22747746863365
SPAC222.13c,466.4723298182994
SPAC4F10.07c,465.6235198624854
SPAC23A1.06c,444.24549703728195
SPCC1183.06,426.44293559677277
